1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 6B00000069B5FC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:10:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 27 00:10:01 PDT 2021
Total Mission Samples:  13247
Total Device Samples:  19785
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/27/21, 12:10:01 AM,C,6.055
4/27/21, 1:10:01 AM,C,6.556
4/27/21, 2:10:01 AM,C,7.057
4/27/21, 3:10:01 AM,C,6.556
4/27/21, 4:10:01 AM,C,6.055
4/27/21, 5:10:01 AM,C,4.05
4/27/21, 6:10:01 AM,C,4.05
4/27/21, 7:10:01 AM,C,5.053
4/27/21, 8:10:01 AM,C,17.573
4/27/21, 9:10:01 AM,C,23.576
4/27/21, 10:10:01 AM,C,24.076
4/27/21, 11:10:01 AM,C,35.07
4/27/21, 12:10:01 PM,C,33.072
4/27/21, 1:10:01 PM,C,30.075
4/27/21, 2:10:01 PM,C,32.073
4/27/21, 3:10:01 PM,C,31.573
4/27/21, 4:10:01 PM,C,27.576
4/27/21, 5:10:01 PM,C,24.076
4/27/21, 6:10:01 PM,C,21.075
4/27/21, 7:10:01 PM,C,16.072
4/27/21, 8:10:01 PM,C,14.069
4/27/21, 9:10:01 PM,C,14.069
4/27/21, 10:10:01 PM,C,14.069
4/27/21, 11:10:01 PM,C,14.57
4/28/21, 12:10:01 AM,C,14.069
4/28/21, 1:10:01 AM,C,13.569
4/28/21, 2:10:01 AM,C,12.567
4/28/21, 3:10:01 AM,C,13.569
4/28/21, 4:10:01 AM,C,14.57
4/28/21, 5:10:01 AM,C,15.07
4/28/21, 6:10:01 AM,C,14.57
4/28/21, 7:10:01 AM,C,18.574
4/28/21, 8:10:01 AM,C,31.074
4/28/21, 9:10:01 AM,C,40.561
4/28/21, 10:10:01 AM,C,42.058
4/28/21, 11:10:01 AM,C,42.058
4/28/21, 12:10:01 PM,C,38.066
4/28/21, 1:10:01 PM,C,39.563
4/28/21, 2:10:01 PM,C,39.563
4/28/21, 3:10:01 PM,C,39.563
4/28/21, 4:10:01 PM,C,34.071
4/28/21, 5:10:01 PM,C,34.071
4/28/21, 6:10:01 PM,C,27.576
4/28/21, 7:10:01 PM,C,23.076
4/28/21, 8:10:01 PM,C,20.075
4/28/21, 9:10:01 PM,C,19.574
4/28/21, 10:10:01 PM,C,19.074
4/28/21, 11:10:01 PM,C,19.574
4/29/21, 12:10:01 AM,C,16.072
4/29/21, 1:10:01 AM,C,16.572
4/29/21, 2:10:01 AM,C,13.569
4/29/21, 3:10:01 AM,C,12.567
4/29/21, 4:10:01 AM,C,12.066
4/29/21, 5:10:01 AM,C,9.562
4/29/21, 6:10:01 AM,C,9.562
4/29/21, 7:10:01 AM,C,17.573
4/29/21, 8:10:01 AM,C,33.572
4/29/21, 9:10:01 AM,C,42.557
4/29/21, 10:10:01 AM,C,54.025
4/29/21, 11:10:01 AM,C,45.551
4/29/21, 12:10:01 PM,C,41.06
4/29/21, 1:10:01 PM,C,41.559
4/29/21, 2:10:01 PM,C,44.054
4/29/21, 3:10:01 PM,C,43.555
4/29/21, 4:10:01 PM,C,41.559
4/29/21, 5:10:01 PM,C,38.565
4/29/21, 6:10:01 PM,C,30.574
4/29/21, 7:10:01 PM,C,24.576
4/29/21, 8:10:01 PM,C,20.075
4/29/21, 9:10:01 PM,C,19.074
4/29/21, 10:10:01 PM,C,18.073
4/29/21, 11:10:01 PM,C,16.072
4/30/21, 12:10:01 AM,C,15.571
4/30/21, 1:10:01 AM,C,16.572
4/30/21, 2:10:01 AM,C,18.073
4/30/21, 3:10:01 AM,C,17.573
4/30/21, 4:10:01 AM,C,15.571
4/30/21, 5:10:01 AM,C,14.069
4/30/21, 6:10:01 AM,C,12.066
4/30/21, 7:10:01 AM,C,23.576
4/30/21, 8:10:01 AM,C,39.563
4/30/21, 9:10:01 AM,C,45.551
4/30/21, 10:10:01 AM,C,54.523
4/30/21, 11:10:01 AM,C,48.543
4/30/21, 12:10:01 PM,C,43.555
4/30/21, 1:10:01 PM,C,45.551
4/30/21, 2:10:01 PM,C,44.054
4/30/21, 3:10:01 PM,C,42.058
4/30/21, 4:10:01 PM,C,40.561
4/30/21, 5:10:01 PM,C,36.568
4/30/21, 6:10:01 PM,C,31.074
4/30/21, 7:10:01 PM,C,26.576
4/30/21, 8:10:01 PM,C,22.576
4/30/21, 9:10:01 PM,C,20.575
4/30/21, 10:10:01 PM,C,16.572
4/30/21, 11:10:01 PM,C,15.571
5/1/21, 12:10:01 AM,C,15.571
5/1/21, 1:10:01 AM,C,14.069
5/1/21, 2:10:01 AM,C,14.57
5/1/21, 3:10:01 AM,C,14.57
5/1/21, 4:10:01 AM,C,15.07
5/1/21, 5:10:01 AM,C,12.567
5/1/21, 6:10:01 AM,C,11.566
5/1/21, 7:10:01 AM,C,16.572
5/1/21, 8:10:01 AM,C,30.075
5/1/21, 9:10:01 AM,C,42.058
5/1/21, 10:10:01 AM,C,42.058
5/1/21, 11:10:01 AM,C,38.066
5/1/21, 12:10:01 PM,C,36.069
5/1/21, 1:10:01 PM,C,34.571
5/1/21, 2:10:01 PM,C,34.571
5/1/21, 3:10:01 PM,C,33.572
5/1/21, 4:10:01 PM,C,30.075
5/1/21, 5:10:01 PM,C,28.076
5/1/21, 6:10:01 PM,C,24.576
5/1/21, 7:10:01 PM,C,19.074
5/1/21, 8:10:01 PM,C,16.572
5/1/21, 9:10:01 PM,C,15.07
5/1/21, 10:10:01 PM,C,13.569
5/1/21, 11:10:01 PM,C,12.066
5/2/21, 12:10:01 AM,C,11.065
5/2/21, 1:10:01 AM,C,10.063
5/2/21, 2:10:01 AM,C,9.562
5/2/21, 3:10:01 AM,C,8.56
5/2/21, 4:10:01 AM,C,9.061
5/2/21, 5:10:01 AM,C,7.558
5/2/21, 6:10:01 AM,C,7.057
5/2/21, 7:10:01 AM,C,11.566
5/2/21, 8:10:01 AM,C,26.076
5/2/21, 9:10:01 AM,C,39.563
5/2/21, 10:10:01 AM,C,37.567
5/2/21, 11:10:01 AM,C,29.075
5/2/21, 12:10:01 PM,C,30.574
5/2/21, 1:10:01 PM,C,32.573
5/2/21, 2:10:01 PM,C,33.072
5/2/21, 3:10:01 PM,C,31.074
5/2/21, 4:10:01 PM,C,29.575
5/2/21, 5:10:01 PM,C,27.076
5/2/21, 6:10:01 PM,C,21.075
5/2/21, 7:10:01 PM,C,17.073
5/2/21, 8:10:01 PM,C,14.069
5/2/21, 9:10:01 PM,C,12.567
5/2/21, 10:10:01 PM,C,11.566
5/2/21, 11:10:01 PM,C,11.566
5/3/21, 12:10:01 AM,C,11.065
5/3/21, 1:10:01 AM,C,11.566
5/3/21, 2:10:01 AM,C,11.065
5/3/21, 3:10:01 AM,C,9.562
5/3/21, 4:10:01 AM,C,9.562
5/3/21, 5:10:01 AM,C,9.562
5/3/21, 6:10:01 AM,C,9.562
5/3/21, 7:10:01 AM,C,14.57
5/3/21, 8:10:01 AM,C,32.073
5/3/21, 9:10:01 AM,C,36.568
5/3/21, 10:10:01 AM,C,43.056
5/3/21, 11:10:01 AM,C,42.058
5/3/21, 12:10:01 PM,C,40.062
5/3/21, 1:10:01 PM,C,41.06
5/3/21, 2:10:01 PM,C,40.062
5/3/21, 3:10:01 PM,C,41.06
5/3/21, 4:10:01 PM,C,36.568
5/3/21, 5:10:01 PM,C,32.573
5/3/21, 6:10:01 PM,C,30.075
5/3/21, 7:10:01 PM,C,23.576
5/3/21, 8:10:01 PM,C,20.575
5/3/21, 9:10:01 PM,C,18.073
5/3/21, 10:10:01 PM,C,17.073
5/3/21, 11:10:01 PM,C,16.072
5/4/21, 12:10:01 AM,C,14.069
5/4/21, 1:10:01 AM,C,12.567
5/4/21, 2:10:01 AM,C,12.567
5/4/21, 3:10:01 AM,C,11.566
5/4/21, 4:10:01 AM,C,10.063
5/4/21, 5:10:01 AM,C,8.56
5/4/21, 6:10:01 AM,C,10.063
5/4/21, 7:10:01 AM,C,16.572
5/4/21, 8:10:01 AM,C,33.572
5/4/21, 9:10:01 AM,C,44.054
5/4/21, 10:10:01 AM,C,45.052
5/4/21, 11:10:01 AM,C,39.064
5/4/21, 12:10:01 PM,C,40.062
5/4/21, 1:10:01 PM,C,41.06
5/4/21, 2:10:01 PM,C,42.058
5/4/21, 3:10:01 PM,C,42.058
5/4/21, 4:10:01 PM,C,39.563
5/4/21, 5:10:01 PM,C,35.07
5/4/21, 6:10:01 PM,C,29.075
5/4/21, 7:10:01 PM,C,24.576
5/4/21, 8:10:01 PM,C,20.575
5/4/21, 9:10:01 PM,C,19.074
5/4/21, 10:10:01 PM,C,15.571
5/4/21, 11:10:01 PM,C,14.57
5/5/21, 12:10:01 AM,C,15.07
5/5/21, 1:10:01 AM,C,15.07
5/5/21, 2:10:01 AM,C,13.068
5/5/21, 3:10:01 AM,C,13.569
5/5/21, 4:10:01 AM,C,12.066
5/5/21, 5:10:01 AM,C,11.566
5/5/21, 6:10:01 AM,C,10.063
5/5/21, 7:10:01 AM,C,20.575
5/5/21, 8:10:01 AM,C,37.067
5/5/21, 9:10:01 AM,C,44.553
5/5/21, 10:10:01 AM,C,50.038
5/5/21, 11:10:01 AM,C,42.557
5/5/21, 12:10:01 PM,C,40.561
5/5/21, 1:10:01 PM,C,40.561
5/5/21, 2:10:01 PM,C,42.557
5/5/21, 3:10:01 PM,C,41.06
5/5/21, 4:10:01 PM,C,39.563
5/5/21, 5:10:01 PM,C,34.571
5/5/21, 6:10:01 PM,C,30.075
5/5/21, 7:10:01 PM,C,24.576
5/5/21, 8:10:01 PM,C,21.075
5/5/21, 9:10:01 PM,C,18.574
5/5/21, 10:10:01 PM,C,16.072
5/5/21, 11:10:01 PM,C,14.57
5/6/21, 12:10:01 AM,C,13.569
5/6/21, 1:10:01 AM,C,13.068
5/6/21, 2:10:01 AM,C,11.566
5/6/21, 3:10:01 AM,C,12.066
5/6/21, 4:10:01 AM,C,9.562
5/6/21, 5:10:01 AM,C,8.56
5/6/21, 6:10:01 AM,C,8.56
5/6/21, 7:10:01 AM,C,16.572
5/6/21, 8:10:01 AM,C,30.075
5/6/21, 9:10:01 AM,C,38.066
5/6/21, 10:10:01 AM,C,36.568
5/6/21, 11:10:01 AM,C,31.074
5/6/21, 12:10:01 PM,C,34.071
5/6/21, 1:10:01 PM,C,36.069
5/6/21, 2:10:01 PM,C,34.571
5/6/21, 3:10:01 PM,C,34.071
5/6/21, 4:10:01 PM,C,30.574
5/6/21, 5:10:01 PM,C,26.076
5/6/21, 6:10:01 PM,C,21.576
5/6/21, 7:10:01 PM,C,17.573
5/6/21, 8:10:01 PM,C,15.571
5/6/21, 9:10:01 PM,C,13.068
5/6/21, 10:10:01 PM,C,12.066
5/6/21, 11:10:01 PM,C,11.566
5/7/21, 12:10:01 AM,C,10.564
5/7/21, 1:10:01 AM,C,10.564
5/7/21, 2:10:01 AM,C,12.066
5/7/21, 3:10:01 AM,C,12.567
5/7/21, 4:10:01 AM,C,12.066
5/7/21, 5:10:01 AM,C,12.066
5/7/21, 6:10:01 AM,C,11.566
5/7/21, 7:10:01 AM,C,12.567
5/7/21, 8:10:01 AM,C,13.569
5/7/21, 9:10:01 AM,C,16.572
5/7/21, 10:10:01 AM,C,22.076
5/7/21, 11:10:01 AM,C,32.073
5/7/21, 12:10:01 PM,C,31.074
5/7/21, 1:10:01 PM,C,32.573
5/7/21, 2:10:01 PM,C,33.072
5/7/21, 3:10:01 PM,C,34.071
5/7/21, 4:10:01 PM,C,31.074
5/7/21, 5:10:01 PM,C,25.576
5/7/21, 6:10:01 PM,C,21.075
5/7/21, 7:10:01 PM,C,17.573
5/7/21, 8:10:01 PM,C,15.07
5/7/21, 9:10:01 PM,C,13.569
5/7/21, 10:10:01 PM,C,12.066
5/7/21, 11:10:01 PM,C,11.065
5/8/21, 12:10:01 AM,C,10.063
5/8/21, 1:10:01 AM,C,9.061
5/8/21, 2:10:01 AM,C,8.56
5/8/21, 3:10:01 AM,C,8.56
5/8/21, 4:10:01 AM,C,8.56
5/8/21, 5:10:01 AM,C,8.56
5/8/21, 6:10:01 AM,C,8.56
5/8/21, 7:10:01 AM,C,14.57
5/8/21, 8:10:01 AM,C,30.075
5/8/21, 9:10:01 AM,C,36.069
5/8/21, 10:10:01 AM,C,36.069
5/8/21, 11:10:01 AM,C,30.075
5/8/21, 12:10:01 PM,C,32.073
5/8/21, 1:10:01 PM,C,34.571
5/8/21, 2:10:01 PM,C,36.069
5/8/21, 3:10:01 PM,C,32.573
5/8/21, 4:10:01 PM,C,31.573
5/8/21, 5:10:01 PM,C,27.576
5/8/21, 6:10:01 PM,C,23.076
5/8/21, 7:10:01 PM,C,19.574
5/8/21, 8:10:01 PM,C,16.572
5/8/21, 9:10:01 PM,C,14.57
5/8/21, 10:10:01 PM,C,12.567
5/8/21, 11:10:01 PM,C,11.065
5/9/21, 12:10:01 AM,C,10.564
5/9/21, 1:10:01 AM,C,10.063
5/9/21, 2:10:01 AM,C,8.56
5/9/21, 3:10:01 AM,C,9.061
5/9/21, 4:10:01 AM,C,8.059
5/9/21, 5:10:01 AM,C,8.059
5/9/21, 6:10:01 AM,C,7.558
5/9/21, 7:10:01 AM,C,15.571
5/9/21, 8:10:01 AM,C,27.076
5/9/21, 9:10:01 AM,C,37.067
5/9/21, 10:10:01 AM,C,33.572
5/9/21, 11:10:01 AM,C,30.574
5/9/21, 12:10:01 PM,C,30.574
5/9/21, 1:10:01 PM,C,31.573
5/9/21, 2:10:01 PM,C,31.573
5/9/21, 3:10:01 PM,C,32.573
5/9/21, 4:10:01 PM,C,30.075
5/9/21, 5:10:01 PM,C,26.076
5/9/21, 6:10:01 PM,C,22.076
5/9/21, 7:10:01 PM,C,18.073
5/9/21, 8:10:01 PM,C,15.571
5/9/21, 9:10:01 PM,C,13.569
5/9/21, 10:10:01 PM,C,12.567
5/9/21, 11:10:01 PM,C,11.566
5/10/21, 12:10:01 AM,C,11.065
5/10/21, 1:10:01 AM,C,10.564
5/10/21, 2:10:01 AM,C,13.569
5/10/21, 3:10:01 AM,C,13.569
5/10/21, 4:10:01 AM,C,14.069
5/10/21, 5:10:01 AM,C,14.069
5/10/21, 6:10:01 AM,C,13.569
5/10/21, 7:10:01 AM,C,15.07
5/10/21, 8:10:01 AM,C,20.075
5/10/21, 9:10:01 AM,C,39.563
5/10/21, 10:10:01 AM,C,39.064
5/10/21, 11:10:01 AM,C,33.072
5/10/21, 12:10:01 PM,C,31.074
5/10/21, 1:10:01 PM,C,32.573
5/10/21, 2:10:01 PM,C,33.572
5/10/21, 3:10:01 PM,C,32.073
5/10/21, 4:10:01 PM,C,29.075
5/10/21, 5:10:01 PM,C,25.076
5/10/21, 6:10:01 PM,C,21.075
5/10/21, 7:10:01 PM,C,17.073
5/10/21, 8:10:01 PM,C,15.07
5/10/21, 9:10:01 PM,C,13.569
5/10/21, 10:10:01 PM,C,12.567
5/10/21, 11:10:01 PM,C,11.566
5/11/21, 12:10:01 AM,C,10.564
5/11/21, 1:10:01 AM,C,9.562
5/11/21, 2:10:01 AM,C,9.562
5/11/21, 3:10:01 AM,C,9.061
5/11/21, 4:10:01 AM,C,9.061
5/11/21, 5:10:01 AM,C,8.56
5/11/21, 6:10:01 AM,C,9.061
5/11/21, 7:10:01 AM,C,17.073
5/11/21, 8:10:01 AM,C,28.575
5/11/21, 9:10:01 AM,C,36.568
5/11/21, 10:10:01 AM,C,37.067
5/11/21, 11:10:01 AM,C,31.573
5/11/21, 12:10:01 PM,C,31.573
5/11/21, 1:10:01 PM,C,34.071
5/11/21, 2:10:01 PM,C,36.568
5/11/21, 3:10:01 PM,C,34.571
5/11/21, 4:10:01 PM,C,33.572
5/11/21, 5:10:01 PM,C,30.075
5/11/21, 6:10:01 PM,C,26.076
5/11/21, 7:10:01 PM,C,21.075
5/11/21, 8:10:01 PM,C,17.573
5/11/21, 9:10:01 PM,C,15.07
5/11/21, 10:10:01 PM,C,13.569
5/11/21, 11:10:01 PM,C,12.567
5/12/21, 12:10:01 AM,C,12.066
5/12/21, 1:10:01 AM,C,11.566
5/12/21, 2:10:01 AM,C,10.564
5/12/21, 3:10:01 AM,C,10.564
5/12/21, 4:10:01 AM,C,11.065
5/12/21, 5:10:01 AM,C,10.063
5/12/21, 6:10:01 AM,C,10.063
5/12/21, 7:10:01 AM,C,14.57
5/12/21, 8:10:01 AM,C,29.575
5/12/21, 9:10:01 AM,C,36.069
5/12/21, 10:10:01 AM,C,40.062
5/12/21, 11:10:01 AM,C,32.073
5/12/21, 12:10:01 PM,C,34.071
5/12/21, 1:10:01 PM,C,35.07
5/12/21, 2:10:01 PM,C,37.567
5/12/21, 3:10:01 PM,C,36.568
5/12/21, 4:10:01 PM,C,34.071
5/12/21, 5:10:01 PM,C,30.075
5/12/21, 6:10:01 PM,C,24.576
5/12/21, 7:10:01 PM,C,20.575
5/12/21, 8:10:01 PM,C,16.572
5/12/21, 9:10:01 PM,C,14.57
5/12/21, 10:10:01 PM,C,13.068
5/12/21, 11:10:01 PM,C,12.066
5/13/21, 12:10:01 AM,C,12.066
5/13/21, 1:10:01 AM,C,13.068
5/13/21, 2:10:01 AM,C,13.068
5/13/21, 3:10:01 AM,C,12.567
5/13/21, 4:10:01 AM,C,12.066
5/13/21, 5:10:01 AM,C,10.564
5/13/21, 6:10:01 AM,C,10.063
5/13/21, 7:10:01 AM,C,17.573
5/13/21, 8:10:01 AM,C,30.075
5/13/21, 9:10:01 AM,C,28.575
5/13/21, 10:10:01 AM,C,36.568
5/13/21, 11:10:01 AM,C,32.073
5/13/21, 12:10:01 PM,C,32.573
5/13/21, 1:10:01 PM,C,33.572
5/13/21, 2:10:01 PM,C,35.07
5/13/21, 3:10:01 PM,C,34.071
5/13/21, 4:10:01 PM,C,32.573
5/13/21, 5:10:01 PM,C,28.575
5/13/21, 6:10:01 PM,C,24.576
5/13/21, 7:10:01 PM,C,19.574
5/13/21, 8:10:01 PM,C,16.572
5/13/21, 9:10:01 PM,C,14.069
5/13/21, 10:10:01 PM,C,13.068
5/13/21, 11:10:01 PM,C,12.066
5/14/21, 12:10:01 AM,C,11.566
5/14/21, 1:10:01 AM,C,12.066
5/14/21, 2:10:01 AM,C,12.567
5/14/21, 3:10:01 AM,C,12.567
5/14/21, 4:10:01 AM,C,12.066
5/14/21, 5:10:01 AM,C,12.066
5/14/21, 6:10:01 AM,C,12.066
5/14/21, 7:10:01 AM,C,12.567
5/14/21, 8:10:01 AM,C,14.57
5/14/21, 9:10:01 AM,C,17.573
5/14/21, 10:10:01 AM,C,25.576
5/14/21, 11:10:01 AM,C,31.074
5/14/21, 12:10:01 PM,C,32.073
5/14/21, 1:10:01 PM,C,30.075
5/14/21, 2:10:01 PM,C,33.572
5/14/21, 3:10:01 PM,C,33.072
5/14/21, 4:10:01 PM,C,31.074
5/14/21, 5:10:01 PM,C,29.075
5/14/21, 6:10:01 PM,C,23.076
5/14/21, 7:10:01 PM,C,17.073
5/14/21, 8:10:01 PM,C,14.57
5/14/21, 9:10:01 PM,C,13.068
5/14/21, 10:10:01 PM,C,12.066
5/14/21, 11:10:01 PM,C,11.065
5/15/21, 12:10:01 AM,C,10.564
5/15/21, 1:10:01 AM,C,12.066
5/15/21, 2:10:01 AM,C,12.567
5/15/21, 3:10:01 AM,C,12.567
5/15/21, 4:10:01 AM,C,13.068
5/15/21, 5:10:01 AM,C,13.068
5/15/21, 6:10:01 AM,C,13.068
5/15/21, 7:10:01 AM,C,13.068
5/15/21, 8:10:01 AM,C,14.57
5/15/21, 9:10:01 AM,C,15.571
5/15/21, 10:10:01 AM,C,17.573
5/15/21, 11:10:01 AM,C,19.074
5/15/21, 12:10:01 PM,C,25.076
5/15/21, 1:10:01 PM,C,32.573
5/15/21, 2:10:01 PM,C,30.574
5/15/21, 3:10:01 PM,C,28.575
5/15/21, 4:10:01 PM,C,28.575
5/15/21, 5:10:01 PM,C,23.076
5/15/21, 6:10:01 PM,C,20.075
5/15/21, 7:10:01 PM,C,16.072
5/15/21, 8:10:01 PM,C,14.069
5/15/21, 9:10:01 PM,C,14.069
5/15/21, 10:10:01 PM,C,14.069
5/15/21, 11:10:01 PM,C,12.567
5/16/21, 12:10:01 AM,C,12.066
5/16/21, 1:10:01 AM,C,12.066
5/16/21, 2:10:01 AM,C,12.066
5/16/21, 3:10:01 AM,C,12.567
5/16/21, 4:10:01 AM,C,12.066
5/16/21, 5:10:01 AM,C,12.066
5/16/21, 6:10:01 AM,C,11.566
5/16/21, 7:10:01 AM,C,12.066
5/16/21, 8:10:01 AM,C,12.567
5/16/21, 9:10:01 AM,C,14.57
5/16/21, 10:10:01 AM,C,16.572
5/16/21, 11:10:01 AM,C,20.075
5/16/21, 12:10:01 PM,C,21.576
5/16/21, 1:10:01 PM,C,20.575
5/16/21, 2:10:01 PM,C,19.574
5/16/21, 3:10:01 PM,C,21.075
5/16/21, 4:10:01 PM,C,21.576
5/16/21, 5:10:01 PM,C,19.574
5/16/21, 6:10:01 PM,C,18.574
5/16/21, 7:10:01 PM,C,16.572
5/16/21, 8:10:01 PM,C,14.069
5/16/21, 9:10:01 PM,C,13.569
5/16/21, 10:10:01 PM,C,12.567
5/16/21, 11:10:01 PM,C,12.567
5/17/21, 12:10:01 AM,C,12.567
5/17/21, 1:10:01 AM,C,12.066
5/17/21, 2:10:01 AM,C,12.066
5/17/21, 3:10:01 AM,C,12.066
5/17/21, 4:10:01 AM,C,11.566
5/17/21, 5:10:01 AM,C,12.066
5/17/21, 6:10:01 AM,C,12.066
5/17/21, 7:10:01 AM,C,12.567
5/17/21, 8:10:01 AM,C,16.072
5/17/21, 9:10:01 AM,C,18.073
5/17/21, 10:10:01 AM,C,34.571
5/17/21, 11:10:01 AM,C,27.576
5/17/21, 12:10:01 PM,C,28.575
5/17/21, 1:10:01 PM,C,30.075
5/17/21, 2:10:01 PM,C,31.573
5/17/21, 3:10:01 PM,C,30.075
5/17/21, 4:10:01 PM,C,28.076
5/17/21, 5:10:01 PM,C,25.076
5/17/21, 6:10:01 PM,C,22.076
5/17/21, 7:10:01 PM,C,18.073
5/17/21, 8:10:01 PM,C,15.571
5/17/21, 9:10:01 PM,C,13.569
5/17/21, 10:10:01 PM,C,12.567
5/17/21, 11:10:01 PM,C,11.566
5/18/21, 12:10:01 AM,C,10.564
5/18/21, 1:10:01 AM,C,10.063
5/18/21, 2:10:01 AM,C,9.061
5/18/21, 3:10:01 AM,C,8.56
5/18/21, 4:10:01 AM,C,8.059
5/18/21, 5:10:01 AM,C,8.059
5/18/21, 6:10:01 AM,C,7.057
5/18/21, 7:10:01 AM,C,11.566
5/18/21, 8:10:01 AM,C,14.57
5/18/21, 9:10:01 AM,C,23.576
5/18/21, 10:10:01 AM,C,33.572
5/18/21, 11:10:01 AM,C,31.074
5/18/21, 12:10:01 PM,C,32.073
5/18/21, 1:10:01 PM,C,33.572
5/18/21, 2:10:01 PM,C,36.069
5/18/21, 3:10:01 PM,C,36.568
5/18/21, 4:10:01 PM,C,35.569
5/18/21, 5:10:01 PM,C,31.573
5/18/21, 6:10:01 PM,C,26.576
5/18/21, 7:10:01 PM,C,22.076
5/18/21, 8:10:01 PM,C,19.074
5/18/21, 9:10:01 PM,C,15.571
5/18/21, 10:10:01 PM,C,14.57
5/18/21, 11:10:01 PM,C,13.569
5/19/21, 12:10:01 AM,C,12.567
5/19/21, 1:10:01 AM,C,11.566
5/19/21, 2:10:01 AM,C,12.567
5/19/21, 3:10:01 AM,C,10.564
5/19/21, 4:10:01 AM,C,10.564
5/19/21, 5:10:01 AM,C,9.562
5/19/21, 6:10:01 AM,C,10.063
5/19/21, 7:10:01 AM,C,18.073
5/19/21, 8:10:01 AM,C,30.075
5/19/21, 9:10:01 AM,C,38.066
5/19/21, 10:10:01 AM,C,34.071
5/19/21, 11:10:01 AM,C,30.574
5/19/21, 12:10:01 PM,C,30.574
5/19/21, 1:10:01 PM,C,31.573
5/19/21, 2:10:01 PM,C,32.073
5/19/21, 3:10:01 PM,C,32.073
5/19/21, 4:10:01 PM,C,30.075
5/19/21, 5:10:01 PM,C,26.076
5/19/21, 6:10:01 PM,C,23.076
5/19/21, 7:10:01 PM,C,19.074
5/19/21, 8:10:01 PM,C,16.572
5/19/21, 9:10:01 PM,C,14.57
5/19/21, 10:10:01 PM,C,13.068
5/19/21, 11:10:01 PM,C,12.066
5/20/21, 12:10:01 AM,C,11.065
5/20/21, 1:10:01 AM,C,10.063
5/20/21, 2:10:01 AM,C,10.063
5/20/21, 3:10:01 AM,C,9.562
5/20/21, 4:10:01 AM,C,9.061
5/20/21, 5:10:01 AM,C,9.061
5/20/21, 6:10:01 AM,C,9.061
5/20/21, 7:10:01 AM,C,17.573
5/20/21, 8:10:01 AM,C,29.575
5/20/21, 9:10:01 AM,C,36.568
5/20/21, 10:10:01 AM,C,36.069
5/20/21, 11:10:01 AM,C,33.572
5/20/21, 12:10:01 PM,C,34.571
5/20/21, 1:10:01 PM,C,35.569
5/20/21, 2:10:01 PM,C,33.572
5/20/21, 3:10:01 PM,C,29.575
5/20/21, 4:10:01 PM,C,27.076
5/20/21, 5:10:01 PM,C,24.576
5/20/21, 6:10:01 PM,C,21.075
5/20/21, 7:10:01 PM,C,17.073
5/20/21, 8:10:01 PM,C,14.069
5/20/21, 9:10:01 PM,C,12.567
5/20/21, 10:10:01 PM,C,12.567
5/20/21, 11:10:01 PM,C,12.567
5/21/21, 12:10:01 AM,C,11.566
5/21/21, 1:10:01 AM,C,11.566
5/21/21, 2:10:01 AM,C,11.566
5/21/21, 3:10:01 AM,C,10.063
5/21/21, 4:10:01 AM,C,8.059
5/21/21, 5:10:01 AM,C,7.057
5/21/21, 6:10:01 AM,C,6.055
5/21/21, 7:10:01 AM,C,16.572
5/21/21, 8:10:01 AM,C,28.575
5/21/21, 9:10:01 AM,C,29.575
5/21/21, 10:10:01 AM,C,34.071
5/21/21, 11:10:01 AM,C,31.074
5/21/21, 12:10:01 PM,C,25.076
5/21/21, 1:10:01 PM,C,23.076
5/21/21, 2:10:01 PM,C,19.574
5/21/21, 3:10:01 PM,C,12.066
5/21/21, 4:10:01 PM,C,11.065
5/21/21, 5:10:01 PM,C,11.566
5/21/21, 6:10:01 PM,C,10.564
5/21/21, 7:10:01 PM,C,11.065
5/21/21, 8:10:01 PM,C,10.063
5/21/21, 9:10:01 PM,C,9.061
5/21/21, 10:10:01 PM,C,9.061
5/21/21, 11:10:01 PM,C,8.56
5/22/21, 12:10:01 AM,C,7.558
5/22/21, 1:10:01 AM,C,7.558
5/22/21, 2:10:01 AM,C,7.057
5/22/21, 3:10:01 AM,C,6.055
5/22/21, 4:10:01 AM,C,5.053
5/22/21, 5:10:01 AM,C,5.053
5/22/21, 6:10:01 AM,C,5.053
5/22/21, 7:10:01 AM,C,9.061
5/22/21, 8:10:01 AM,C,12.066
5/22/21, 9:10:01 AM,C,29.075
5/22/21, 10:10:01 AM,C,28.575
5/22/21, 11:10:01 AM,C,25.576
5/22/21, 12:10:01 PM,C,25.576
5/22/21, 1:10:01 PM,C,27.076
5/22/21, 2:10:01 PM,C,26.576
5/22/21, 3:10:01 PM,C,27.076
5/22/21, 4:10:01 PM,C,25.076
5/22/21, 5:10:01 PM,C,22.076
5/22/21, 6:10:01 PM,C,18.574
5/22/21, 7:10:01 PM,C,14.57
5/22/21, 8:10:01 PM,C,12.567
