1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 470000006CBA1941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 04:01:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Fri Feb 07 22:01:01 PST 2020
Total Mission Samples:  4258
Total Device Samples:  11870
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
2/7/20 10:01:01 PM,F,39.356
2/7/20 11:01:01 PM,F,39.356
2/8/20 12:01:01 AM,F,39.356
2/8/20 1:01:01 AM,F,35.734
2/8/20 2:01:01 AM,F,34.829
2/8/20 3:01:01 AM,F,38.451
2/8/20 4:01:01 AM,F,39.356
2/8/20 5:01:01 AM,F,38.451
2/8/20 6:01:01 AM,F,38.451
2/8/20 7:01:01 AM,F,37.545
2/8/20 8:01:01 AM,F,68.257
2/8/20 9:01:01 AM,F,77.264
2/8/20 10:01:01 AM,F,84.46
2/8/20 11:01:01 AM,F,84.46
2/8/20 12:01:01 PM,F,86.258
2/8/20 1:01:01 PM,F,82.662
2/8/20 2:01:01 PM,F,78.164
2/8/20 3:01:01 PM,F,63.75
2/8/20 4:01:01 PM,F,61.946
2/8/20 5:01:01 PM,F,57.434
2/8/20 6:01:01 PM,F,52.015
2/8/20 7:01:01 PM,F,45.688
2/8/20 8:01:01 PM,F,42.07
2/8/20 9:01:01 PM,F,39.356
2/8/20 10:01:01 PM,F,39.356
2/8/20 11:01:01 PM,F,37.545
2/9/20 12:01:01 AM,F,38.451
2/9/20 1:01:01 AM,F,37.545
2/9/20 2:01:01 AM,F,33.923
2/9/20 3:01:01 AM,F,36.64
2/9/20 4:01:01 AM,F,41.166
2/9/20 5:01:01 AM,F,41.166
2/9/20 6:01:01 AM,F,42.975
2/9/20 7:01:01 AM,F,42.975
2/9/20 8:01:01 AM,F,52.015
2/9/20 9:01:01 AM,F,75.463
2/9/20 10:01:01 AM,F,57.434
2/9/20 11:01:01 AM,F,65.553
2/9/20 12:01:01 PM,F,77.264
2/9/20 1:01:01 PM,F,61.946
2/9/20 2:01:01 PM,F,70.06
2/9/20 3:01:01 PM,F,60.141
2/9/20 4:01:01 PM,F,60.141
2/9/20 5:01:01 PM,F,54.725
2/9/20 6:01:01 PM,F,52.015
2/9/20 7:01:01 PM,F,51.112
2/9/20 8:01:01 PM,F,51.112
2/9/20 9:01:01 PM,F,49.305
2/9/20 10:01:01 PM,F,45.688
2/9/20 11:01:01 PM,F,41.166
2/10/20 12:01:01 AM,F,43.88
2/10/20 1:01:01 AM,F,44.784
2/10/20 2:01:01 AM,F,45.688
2/10/20 3:01:01 AM,F,48.401
2/10/20 4:01:01 AM,F,48.401
2/10/20 5:01:01 AM,F,48.401
2/10/20 6:01:01 AM,F,48.401
2/10/20 7:01:01 AM,F,49.305
2/10/20 8:01:01 AM,F,65.553
2/10/20 9:01:01 AM,F,70.06
2/10/20 10:01:01 AM,F,87.157
2/10/20 11:01:01 AM,F,88.056
2/10/20 12:01:01 PM,F,82.662
2/10/20 1:01:01 PM,F,79.064
2/10/20 2:01:01 PM,F,74.563
2/10/20 3:01:01 PM,F,62.848
2/10/20 4:01:01 PM,F,61.043
2/10/20 5:01:01 PM,F,59.239
2/10/20 6:01:01 PM,F,56.531
2/10/20 7:01:01 PM,F,56.531
2/10/20 8:01:01 PM,F,55.628
2/10/20 9:01:01 PM,F,52.919
2/10/20 10:01:01 PM,F,49.305
2/10/20 11:01:01 PM,F,48.401
2/11/20 12:01:01 AM,F,45.688
2/11/20 1:01:01 AM,F,42.07
2/11/20 2:01:01 AM,F,46.593
2/11/20 3:01:01 AM,F,46.593
2/11/20 4:01:01 AM,F,43.88
2/11/20 5:01:01 AM,F,42.07
2/11/20 6:01:01 AM,F,42.07
2/11/20 7:01:01 AM,F,42.07
2/11/20 8:01:01 AM,F,71.861
2/11/20 9:01:01 AM,F,78.164
2/11/20 10:01:01 AM,F,83.561
2/11/20 11:01:01 AM,F,80.863
2/11/20 12:01:01 PM,F,87.157
2/11/20 1:01:01 PM,F,84.46
2/11/20 2:01:01 PM,F,79.064
2/11/20 3:01:01 PM,F,58.336
2/11/20 4:01:01 PM,F,55.628
2/11/20 5:01:01 PM,F,51.112
2/11/20 6:01:01 PM,F,44.784
2/11/20 7:01:01 PM,F,42.07
2/11/20 8:01:01 PM,F,44.784
2/11/20 9:01:01 PM,F,42.975
2/11/20 10:01:01 PM,F,40.261
2/11/20 11:01:01 PM,F,38.451
2/12/20 12:01:01 AM,F,39.356
2/12/20 1:01:01 AM,F,38.451
2/12/20 2:01:01 AM,F,35.734
2/12/20 3:01:01 AM,F,34.829
2/12/20 4:01:01 AM,F,35.734
2/12/20 5:01:01 AM,F,34.829
2/12/20 6:01:01 AM,F,33.923
2/12/20 7:01:01 AM,F,34.829
2/12/20 8:01:01 AM,F,69.158
2/12/20 9:01:01 AM,F,79.064
2/12/20 10:01:01 AM,F,84.46
2/12/20 11:01:01 AM,F,87.157
2/12/20 12:01:01 PM,F,87.157
2/12/20 1:01:01 PM,F,78.164
2/12/20 2:01:01 PM,F,74.563
2/12/20 3:01:01 PM,F,60.141
2/12/20 4:01:01 PM,F,58.336
2/12/20 5:01:01 PM,F,52.015
2/12/20 6:01:01 PM,F,49.305
2/12/20 7:01:01 PM,F,40.261
2/12/20 8:01:01 PM,F,41.166
2/12/20 9:01:01 PM,F,40.261
2/12/20 10:01:01 PM,F,40.261
2/12/20 11:01:01 PM,F,38.451
2/13/20 12:01:01 AM,F,37.545
2/13/20 1:01:01 AM,F,33.923
2/13/20 2:01:01 AM,F,35.734
2/13/20 3:01:01 AM,F,34.829
2/13/20 4:01:01 AM,F,34.829
2/13/20 5:01:01 AM,F,33.923
2/13/20 6:01:01 AM,F,33.923
2/13/20 7:01:01 AM,F,35.734
2/13/20 8:01:01 AM,F,67.356
2/13/20 9:01:01 AM,F,79.963
2/13/20 10:01:01 AM,F,88.056
2/13/20 11:01:01 AM,F,94.343
2/13/20 12:01:01 PM,F,87.157
2/13/20 1:01:01 PM,F,82.662
2/13/20 2:01:01 PM,F,80.863
2/13/20 3:01:01 PM,F,61.946
2/13/20 4:01:01 PM,F,61.946
2/13/20 5:01:01 PM,F,57.434
2/13/20 6:01:01 PM,F,51.112
2/13/20 7:01:01 PM,F,42.975
2/13/20 8:01:01 PM,F,39.356
2/13/20 9:01:01 PM,F,41.166
2/13/20 10:01:01 PM,F,40.261
2/13/20 11:01:01 PM,F,36.64
2/14/20 12:01:01 AM,F,38.451
2/14/20 1:01:01 AM,F,37.545
2/14/20 2:01:01 AM,F,37.545
2/14/20 3:01:01 AM,F,35.734
2/14/20 4:01:01 AM,F,34.829
2/14/20 5:01:01 AM,F,34.829
2/14/20 6:01:01 AM,F,34.829
2/14/20 7:01:01 AM,F,34.829
2/14/20 8:01:01 AM,F,67.356
2/14/20 9:01:01 AM,F,82.662
2/14/20 10:01:01 AM,F,88.056
2/14/20 11:01:01 AM,F,93.445
2/14/20 12:01:01 PM,F,88.954
2/14/20 1:01:01 PM,F,87.157
2/14/20 2:01:01 PM,F,79.064
2/14/20 3:01:01 PM,F,62.848
2/14/20 4:01:01 PM,F,61.043
2/14/20 5:01:01 PM,F,56.531
2/14/20 6:01:01 PM,F,52.015
2/14/20 7:01:01 PM,F,42.975
2/14/20 8:01:01 PM,F,40.261
2/14/20 9:01:01 PM,F,40.261
2/14/20 10:01:01 PM,F,36.64
2/14/20 11:01:01 PM,F,40.261
2/15/20 12:01:01 AM,F,38.451
2/15/20 1:01:01 AM,F,33.923
2/15/20 2:01:01 AM,F,34.829
2/15/20 3:01:01 AM,F,33.923
2/15/20 4:01:01 AM,F,33.923
2/15/20 5:01:01 AM,F,33.017
2/15/20 6:01:01 AM,F,31.205
2/15/20 7:01:01 AM,F,32.111
2/15/20 8:01:01 AM,F,70.06
2/15/20 9:01:01 AM,F,82.662
2/15/20 10:01:01 AM,F,89.853
2/15/20 11:01:01 AM,F,90.751
2/15/20 12:01:01 PM,F,90.751
2/15/20 1:01:01 PM,F,85.359
2/15/20 2:01:01 PM,F,78.164
2/15/20 3:01:01 PM,F,64.651
2/15/20 4:01:01 PM,F,61.946
2/15/20 5:01:01 PM,F,57.434
2/15/20 6:01:01 PM,F,49.305
2/15/20 7:01:01 PM,F,46.593
2/15/20 8:01:01 PM,F,42.975
2/15/20 9:01:01 PM,F,42.975
2/15/20 10:01:01 PM,F,42.07
2/15/20 11:01:01 PM,F,39.356
2/16/20 12:01:01 AM,F,39.356
2/16/20 1:01:01 AM,F,40.261
2/16/20 2:01:01 AM,F,37.545
2/16/20 3:01:01 AM,F,36.64
2/16/20 4:01:01 AM,F,39.356
2/16/20 5:01:01 AM,F,38.451
2/16/20 6:01:01 AM,F,36.64
2/16/20 7:01:01 AM,F,39.356
2/16/20 8:01:01 AM,F,73.663
2/16/20 9:01:01 AM,F,85.359
2/16/20 10:01:01 AM,F,91.649
2/16/20 11:01:01 AM,F,94.343
2/16/20 12:01:01 PM,F,92.547
2/16/20 1:01:01 PM,F,87.157
2/16/20 2:01:01 PM,F,81.762
2/16/20 3:01:01 PM,F,66.455
2/16/20 4:01:01 PM,F,63.75
2/16/20 5:01:01 PM,F,58.336
2/16/20 6:01:01 PM,F,55.628
2/16/20 7:01:01 PM,F,50.208
2/16/20 8:01:01 PM,F,46.593
2/16/20 9:01:01 PM,F,45.688
2/16/20 10:01:01 PM,F,43.88
2/16/20 11:01:01 PM,F,42.975
2/17/20 12:01:01 AM,F,43.88
2/17/20 1:01:01 AM,F,52.919
2/17/20 2:01:01 AM,F,56.531
2/17/20 3:01:01 AM,F,54.725
2/17/20 4:01:01 AM,F,53.822
2/17/20 5:01:01 AM,F,49.305
2/17/20 6:01:01 AM,F,53.822
2/17/20 7:01:01 AM,F,52.919
2/17/20 8:01:01 AM,F,81.762
2/17/20 9:01:01 AM,F,92.547
2/17/20 10:01:01 AM,F,94.343
2/17/20 11:01:01 AM,F,94.343
2/17/20 12:01:01 PM,F,89.853
2/17/20 1:01:01 PM,F,94.343
2/17/20 2:01:01 PM,F,87.157
2/17/20 3:01:01 PM,F,67.356
2/17/20 4:01:01 PM,F,65.553
2/17/20 5:01:01 PM,F,64.651
2/17/20 6:01:01 PM,F,54.725
2/17/20 7:01:01 PM,F,57.434
2/17/20 8:01:01 PM,F,56.531
2/17/20 9:01:01 PM,F,55.628
2/17/20 10:01:01 PM,F,55.628
2/17/20 11:01:01 PM,F,55.628
2/18/20 12:01:01 AM,F,49.305
2/18/20 1:01:01 AM,F,50.208
2/18/20 2:01:01 AM,F,46.593
2/18/20 3:01:01 AM,F,43.88
2/18/20 4:01:01 AM,F,44.784
2/18/20 5:01:01 AM,F,41.166
2/18/20 6:01:01 AM,F,43.88
2/18/20 7:01:01 AM,F,44.784
2/18/20 8:01:01 AM,F,74.563
2/18/20 9:01:01 AM,F,87.157
2/18/20 10:01:01 AM,F,95.24
2/18/20 11:01:01 AM,F,84.46
2/18/20 12:01:01 PM,F,90.751
2/18/20 1:01:01 PM,F,95.24
2/18/20 2:01:01 PM,F,85.359
2/18/20 3:01:01 PM,F,68.257
2/18/20 4:01:01 PM,F,64.651
2/18/20 5:01:01 PM,F,61.043
2/18/20 6:01:01 PM,F,54.725
2/18/20 7:01:01 PM,F,49.305
2/18/20 8:01:01 PM,F,45.688
2/18/20 9:01:01 PM,F,42.07
2/18/20 10:01:01 PM,F,43.88
2/18/20 11:01:01 PM,F,41.166
2/19/20 12:01:01 AM,F,41.166
2/19/20 1:01:01 AM,F,40.261
2/19/20 2:01:01 AM,F,39.356
2/19/20 3:01:01 AM,F,37.545
2/19/20 4:01:01 AM,F,34.829
2/19/20 5:01:01 AM,F,34.829
2/19/20 6:01:01 AM,F,33.923
2/19/20 7:01:01 AM,F,37.545
2/19/20 8:01:01 AM,F,65.553
2/19/20 9:01:01 AM,F,83.561
2/19/20 10:01:01 AM,F,94.343
2/19/20 11:01:01 AM,F,91.649
2/19/20 12:01:01 PM,F,89.853
2/19/20 1:01:01 PM,F,87.157
2/19/20 2:01:01 PM,F,82.662
2/19/20 3:01:01 PM,F,64.651
2/19/20 4:01:01 PM,F,61.946
2/19/20 5:01:01 PM,F,58.336
2/19/20 6:01:01 PM,F,52.015
2/19/20 7:01:01 PM,F,43.88
2/19/20 8:01:01 PM,F,42.07
2/19/20 9:01:01 PM,F,40.261
2/19/20 10:01:01 PM,F,42.975
2/19/20 11:01:01 PM,F,42.07
2/20/20 12:01:01 AM,F,43.88
2/20/20 1:01:01 AM,F,43.88
2/20/20 2:01:01 AM,F,42.975
2/20/20 3:01:01 AM,F,43.88
2/20/20 4:01:01 AM,F,42.07
2/20/20 5:01:01 AM,F,42.07
2/20/20 6:01:01 AM,F,42.07
2/20/20 7:01:01 AM,F,42.07
2/20/20 8:01:01 AM,F,71.861
2/20/20 9:01:01 AM,F,87.157
2/20/20 10:01:01 AM,F,97.036
2/20/20 11:01:01 AM,F,93.445
2/20/20 12:01:01 PM,F,93.445
2/20/20 1:01:01 PM,F,97.036
2/20/20 2:01:01 PM,F,89.853
2/20/20 3:01:01 PM,F,65.553
2/20/20 4:01:01 PM,F,61.946
2/20/20 5:01:01 PM,F,60.141
2/20/20 6:01:01 PM,F,52.919
2/20/20 7:01:01 PM,F,52.015
2/20/20 8:01:01 PM,F,48.401
2/20/20 9:01:01 PM,F,47.497
2/20/20 10:01:01 PM,F,45.688
2/20/20 11:01:01 PM,F,46.593
2/21/20 12:01:01 AM,F,47.497
2/21/20 1:01:01 AM,F,44.784
2/21/20 2:01:01 AM,F,46.593
2/21/20 3:01:01 AM,F,46.593
2/21/20 4:01:01 AM,F,49.305
2/21/20 5:01:01 AM,F,42.975
2/21/20 6:01:01 AM,F,48.401
2/21/20 7:01:01 AM,F,47.497
2/21/20 8:01:01 AM,F,62.848
2/21/20 9:01:01 AM,F,80.863
2/21/20 10:01:01 AM,F,80.863
2/21/20 11:01:01 AM,F,82.662
2/21/20 12:01:01 PM,F,91.649
2/21/20 1:01:01 PM,F,89.853
2/21/20 2:01:01 PM,F,77.264
2/21/20 3:01:01 PM,F,74.563
2/21/20 4:01:01 PM,F,71.861
2/21/20 5:01:01 PM,F,66.455
2/21/20 6:01:01 PM,F,58.336
2/21/20 7:01:01 PM,F,56.531
2/21/20 8:01:01 PM,F,52.919
2/21/20 9:01:01 PM,F,50.208
2/21/20 10:01:01 PM,F,47.497
2/21/20 11:01:01 PM,F,46.593
2/22/20 12:01:01 AM,F,46.593
2/22/20 1:01:01 AM,F,48.401
2/22/20 2:01:01 AM,F,49.305
2/22/20 3:01:01 AM,F,47.497
2/22/20 4:01:01 AM,F,41.166
2/22/20 5:01:01 AM,F,45.688
2/22/20 6:01:01 AM,F,44.784
2/22/20 7:01:01 AM,F,42.975
2/22/20 8:01:01 AM,F,47.497
2/22/20 9:01:01 AM,F,63.75
2/22/20 10:01:01 AM,F,58.336
2/22/20 11:01:01 AM,F,73.663
2/22/20 12:01:01 PM,F,79.963
2/22/20 1:01:01 PM,F,67.356
2/22/20 2:01:01 PM,F,51.112
2/22/20 3:01:01 PM,F,54.725
2/22/20 4:01:01 PM,F,51.112
2/22/20 5:01:01 PM,F,49.305
2/22/20 6:01:01 PM,F,47.497
2/22/20 7:01:01 PM,F,44.784
2/22/20 8:01:01 PM,F,45.688
2/22/20 9:01:01 PM,F,47.497
2/22/20 10:01:01 PM,F,47.497
2/22/20 11:01:01 PM,F,47.497
2/23/20 12:01:01 AM,F,44.784
2/23/20 1:01:01 AM,F,46.593
2/23/20 2:01:01 AM,F,46.593
2/23/20 3:01:01 AM,F,42.07
2/23/20 4:01:01 AM,F,41.166
2/23/20 5:01:01 AM,F,40.261
2/23/20 6:01:01 AM,F,39.356
2/23/20 7:01:01 AM,F,40.261
2/23/20 8:01:01 AM,F,59.239
2/23/20 9:01:01 AM,F,64.651
2/23/20 10:01:01 AM,F,70.06
2/23/20 11:01:01 AM,F,79.963
2/23/20 12:01:01 PM,F,83.561
2/23/20 1:01:01 PM,F,79.963
2/23/20 2:01:01 PM,F,78.164
2/23/20 3:01:01 PM,F,61.043
2/23/20 4:01:01 PM,F,59.239
2/23/20 5:01:01 PM,F,56.531
2/23/20 6:01:01 PM,F,52.015
2/23/20 7:01:01 PM,F,47.497
2/23/20 8:01:01 PM,F,44.784
2/23/20 9:01:01 PM,F,43.88
2/23/20 10:01:01 PM,F,41.166
2/23/20 11:01:01 PM,F,40.261
2/24/20 12:01:01 AM,F,40.261
2/24/20 1:01:01 AM,F,40.261
2/24/20 2:01:01 AM,F,38.451
2/24/20 3:01:01 AM,F,39.356
2/24/20 4:01:01 AM,F,39.356
2/24/20 5:01:01 AM,F,38.451
2/24/20 6:01:01 AM,F,38.451
2/24/20 7:01:01 AM,F,45.688
2/24/20 8:01:01 AM,F,64.651
2/24/20 9:01:01 AM,F,80.863
2/24/20 10:01:01 AM,F,86.258
2/24/20 11:01:01 AM,F,92.547
2/24/20 12:01:01 PM,F,92.547
2/24/20 1:01:01 PM,F,88.954
2/24/20 2:01:01 PM,F,88.954
2/24/20 3:01:01 PM,F,70.06
2/24/20 4:01:01 PM,F,65.553
2/24/20 5:01:01 PM,F,63.75
2/24/20 6:01:01 PM,F,60.141
2/24/20 7:01:01 PM,F,59.239
2/24/20 8:01:01 PM,F,59.239
2/24/20 9:01:01 PM,F,58.336
2/24/20 10:01:01 PM,F,58.336
2/24/20 11:01:01 PM,F,47.497
2/25/20 12:01:01 AM,F,50.208
2/25/20 1:01:01 AM,F,47.497
2/25/20 2:01:01 AM,F,45.688
2/25/20 3:01:01 AM,F,46.593
2/25/20 4:01:01 AM,F,45.688
2/25/20 5:01:01 AM,F,46.593
2/25/20 6:01:01 AM,F,46.593
2/25/20 7:01:01 AM,F,48.401
2/25/20 8:01:01 AM,F,73.663
2/25/20 9:01:01 AM,F,86.258
2/25/20 10:01:01 AM,F,88.056
2/25/20 11:01:01 AM,F,90.751
2/25/20 12:01:01 PM,F,88.954
2/25/20 1:01:01 PM,F,92.547
2/25/20 2:01:01 PM,F,85.359
2/25/20 3:01:01 PM,F,68.257
2/25/20 4:01:01 PM,F,64.651
2/25/20 5:01:01 PM,F,64.651
2/25/20 6:01:01 PM,F,54.725
2/25/20 7:01:01 PM,F,53.822
2/25/20 8:01:01 PM,F,52.015
2/25/20 9:01:01 PM,F,50.208
2/25/20 10:01:01 PM,F,49.305
2/25/20 11:01:01 PM,F,50.208
2/26/20 12:01:01 AM,F,48.401
2/26/20 1:01:01 AM,F,48.401
2/26/20 2:01:01 AM,F,49.305
2/26/20 3:01:01 AM,F,46.593
2/26/20 4:01:01 AM,F,45.688
2/26/20 5:01:01 AM,F,46.593
2/26/20 6:01:01 AM,F,44.784
2/26/20 7:01:01 AM,F,47.497
2/26/20 8:01:01 AM,F,76.364
2/26/20 9:01:01 AM,F,83.561
2/26/20 10:01:01 AM,F,88.056
2/26/20 11:01:01 AM,F,90.751
2/26/20 12:01:01 PM,F,89.853
2/26/20 1:01:01 PM,F,90.751
2/26/20 2:01:01 PM,F,85.359
2/26/20 3:01:01 PM,F,70.06
2/26/20 4:01:01 PM,F,65.553
2/26/20 5:01:01 PM,F,64.651
2/26/20 6:01:01 PM,F,62.848
2/26/20 7:01:01 PM,F,58.336
2/26/20 8:01:01 PM,F,55.628
2/26/20 9:01:01 PM,F,58.336
2/26/20 10:01:01 PM,F,57.434
2/26/20 11:01:01 PM,F,51.112
2/27/20 12:01:01 AM,F,44.784
2/27/20 1:01:01 AM,F,47.497
2/27/20 2:01:01 AM,F,45.688
2/27/20 3:01:01 AM,F,45.688
2/27/20 4:01:01 AM,F,45.688
2/27/20 5:01:01 AM,F,46.593
2/27/20 6:01:01 AM,F,45.688
2/27/20 7:01:01 AM,F,49.305
2/27/20 8:01:01 AM,F,71.861
2/27/20 9:01:01 AM,F,85.359
2/27/20 10:01:01 AM,F,87.157
2/27/20 11:01:01 AM,F,88.056
2/27/20 12:01:01 PM,F,93.445
2/27/20 1:01:01 PM,F,83.561
2/27/20 2:01:01 PM,F,85.359
2/27/20 3:01:01 PM,F,78.164
2/27/20 4:01:01 PM,F,71.861
2/27/20 5:01:01 PM,F,67.356
2/27/20 6:01:01 PM,F,58.336
2/27/20 7:01:01 PM,F,57.434
2/27/20 8:01:01 PM,F,57.434
2/27/20 9:01:01 PM,F,52.919
2/27/20 10:01:01 PM,F,52.919
2/27/20 11:01:01 PM,F,52.919
2/28/20 12:01:01 AM,F,53.822
2/28/20 1:01:01 AM,F,54.725
2/28/20 2:01:01 AM,F,52.015
2/28/20 3:01:01 AM,F,47.497
2/28/20 4:01:01 AM,F,50.208
2/28/20 5:01:01 AM,F,47.497
2/28/20 6:01:01 AM,F,47.497
2/28/20 7:01:01 AM,F,53.822
2/28/20 8:01:01 AM,F,79.064
2/28/20 9:01:01 AM,F,81.762
2/28/20 10:01:01 AM,F,110.483
2/28/20 11:01:01 AM,F,104.211
2/28/20 12:01:01 PM,F,105.107
2/28/20 1:01:01 PM,F,80.863
2/28/20 2:01:01 PM,F,99.727
2/28/20 3:01:01 PM,F,77.264
2/28/20 4:01:01 PM,F,69.158
2/28/20 5:01:01 PM,F,67.356
2/28/20 6:01:01 PM,F,64.651
2/28/20 7:01:01 PM,F,58.336
2/28/20 8:01:01 PM,F,52.015
2/28/20 9:01:01 PM,F,52.015
2/28/20 10:01:01 PM,F,48.401
2/28/20 11:01:01 PM,F,45.688
2/29/20 12:01:01 AM,F,46.593
2/29/20 1:01:01 AM,F,43.88
2/29/20 2:01:01 AM,F,47.497
2/29/20 3:01:01 AM,F,46.593
2/29/20 4:01:01 AM,F,45.688
2/29/20 5:01:01 AM,F,45.688
2/29/20 6:01:01 AM,F,42.07
2/29/20 7:01:01 AM,F,44.784
2/29/20 8:01:01 AM,F,54.725
2/29/20 9:01:01 AM,F,64.651
2/29/20 10:01:01 AM,F,93.445
2/29/20 11:01:01 AM,F,93.445
2/29/20 12:01:01 PM,F,88.056
2/29/20 1:01:01 PM,F,85.359
2/29/20 2:01:01 PM,F,88.056
2/29/20 3:01:01 PM,F,66.455
2/29/20 4:01:01 PM,F,62.848
2/29/20 5:01:01 PM,F,59.239
2/29/20 6:01:01 PM,F,51.112
2/29/20 7:01:01 PM,F,52.015
2/29/20 8:01:01 PM,F,48.401
2/29/20 9:01:01 PM,F,46.593
2/29/20 10:01:01 PM,F,48.401
2/29/20 11:01:01 PM,F,50.208
3/1/20 12:01:01 AM,F,50.208
3/1/20 1:01:01 AM,F,49.305
3/1/20 2:01:01 AM,F,45.688
3/1/20 3:01:01 AM,F,48.401
3/1/20 4:01:01 AM,F,48.401
3/1/20 5:01:01 AM,F,48.401
3/1/20 6:01:01 AM,F,46.593
3/1/20 7:01:01 AM,F,50.208
3/1/20 8:01:01 AM,F,52.919
3/1/20 9:01:01 AM,F,60.141
3/1/20 10:01:01 AM,F,55.628
3/1/20 11:01:01 AM,F,64.651
3/1/20 12:01:01 PM,F,78.164
3/1/20 1:01:01 PM,F,79.064
3/1/20 2:01:01 PM,F,70.96
3/1/20 3:01:01 PM,F,57.434
3/1/20 4:01:01 PM,F,53.822
3/1/20 5:01:01 PM,F,50.208
3/1/20 6:01:01 PM,F,45.688
3/1/20 7:01:01 PM,F,43.88
3/1/20 8:01:01 PM,F,45.688
3/1/20 9:01:01 PM,F,43.88
3/1/20 10:01:01 PM,F,43.88
3/1/20 11:01:01 PM,F,42.975
3/2/20 12:01:01 AM,F,45.688
3/2/20 1:01:01 AM,F,40.261
3/2/20 2:01:01 AM,F,43.88
3/2/20 3:01:01 AM,F,39.356
3/2/20 4:01:01 AM,F,43.88
3/2/20 5:01:01 AM,F,42.975
3/2/20 6:01:01 AM,F,43.88
3/2/20 7:01:01 AM,F,53.822
3/2/20 8:01:01 AM,F,64.651
3/2/20 9:01:01 AM,F,81.762
3/2/20 10:01:01 AM,F,81.762
3/2/20 11:01:01 AM,F,82.662
3/2/20 12:01:01 PM,F,83.561
3/2/20 1:01:01 PM,F,81.762
3/2/20 2:01:01 PM,F,78.164
3/2/20 3:01:01 PM,F,62.848
3/2/20 4:01:01 PM,F,59.239
3/2/20 5:01:01 PM,F,55.628
3/2/20 6:01:01 PM,F,52.919
3/2/20 7:01:01 PM,F,45.688
3/2/20 8:01:01 PM,F,45.688
3/2/20 9:01:01 PM,F,43.88
3/2/20 10:01:01 PM,F,41.166
3/2/20 11:01:01 PM,F,42.07
3/3/20 12:01:01 AM,F,42.975
3/3/20 1:01:01 AM,F,42.07
3/3/20 2:01:01 AM,F,42.975
3/3/20 3:01:01 AM,F,42.07
3/3/20 4:01:01 AM,F,41.166
3/3/20 5:01:01 AM,F,36.64
3/3/20 6:01:01 AM,F,35.734
3/3/20 7:01:01 AM,F,50.208
3/3/20 8:01:01 AM,F,82.662
3/3/20 9:01:01 AM,F,88.954
3/3/20 10:01:01 AM,F,98.83
3/3/20 11:01:01 AM,F,97.933
3/3/20 12:01:01 PM,F,99.727
3/3/20 1:01:01 PM,F,97.036
3/3/20 2:01:01 PM,F,91.649
3/3/20 3:01:01 PM,F,72.762
3/3/20 4:01:01 PM,F,68.257
3/3/20 5:01:01 PM,F,62.848
3/3/20 6:01:01 PM,F,56.531
3/3/20 7:01:01 PM,F,52.015
3/3/20 8:01:01 PM,F,52.919
3/3/20 9:01:01 PM,F,52.015
3/3/20 10:01:01 PM,F,49.305
3/3/20 11:01:01 PM,F,47.497
3/4/20 12:01:01 AM,F,47.497
3/4/20 1:01:01 AM,F,44.784
3/4/20 2:01:01 AM,F,43.88
3/4/20 3:01:01 AM,F,43.88
3/4/20 4:01:01 AM,F,41.166
3/4/20 5:01:01 AM,F,42.07
3/4/20 6:01:01 AM,F,40.261
3/4/20 7:01:01 AM,F,53.822
3/4/20 8:01:01 AM,F,74.563
3/4/20 9:01:01 AM,F,88.954
3/4/20 10:01:01 AM,F,96.138
3/4/20 11:01:01 AM,F,96.138
3/4/20 12:01:01 PM,F,97.036
3/4/20 1:01:01 PM,F,91.649
3/4/20 2:01:01 PM,F,86.258
3/4/20 3:01:01 PM,F,71.861
3/4/20 4:01:01 PM,F,66.455
3/4/20 5:01:01 PM,F,61.946
3/4/20 6:01:01 PM,F,56.531
3/4/20 7:01:01 PM,F,50.208
3/4/20 8:01:01 PM,F,49.305
3/4/20 9:01:01 PM,F,45.688
3/4/20 10:01:01 PM,F,42.975
3/4/20 11:01:01 PM,F,42.07
3/5/20 12:01:01 AM,F,45.688
3/5/20 1:01:01 AM,F,41.166
3/5/20 2:01:01 AM,F,38.451
3/5/20 3:01:01 AM,F,39.356
3/5/20 4:01:01 AM,F,39.356
3/5/20 5:01:01 AM,F,40.261
3/5/20 6:01:01 AM,F,39.356
3/5/20 7:01:01 AM,F,50.208
3/5/20 8:01:01 AM,F,78.164
3/5/20 9:01:01 AM,F,89.853
3/5/20 10:01:01 AM,F,97.933
3/5/20 11:01:01 AM,F,102.418
3/5/20 12:01:01 PM,F,100.624
3/5/20 1:01:01 PM,F,97.933
3/5/20 2:01:01 PM,F,94.343
3/5/20 3:01:01 PM,F,78.164
3/5/20 4:01:01 PM,F,74.563
3/5/20 5:01:01 PM,F,67.356
3/5/20 6:01:01 PM,F,61.043
3/5/20 7:01:01 PM,F,51.112
3/5/20 8:01:01 PM,F,46.593
3/5/20 9:01:01 PM,F,45.688
3/5/20 10:01:01 PM,F,46.593
3/5/20 11:01:01 PM,F,46.593
3/6/20 12:01:01 AM,F,46.593
